Year,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
2015,19. Aston Villa,27,10,753,47.3,77.8,19.1,6.69
2015,20. Norwich,39,11,613,46.5,73.6,17.4,6.61
2014,1. Arsenal,70,16.1,682,55.7,83.8,19.8,7.15
2014,2. Manchester City,84,17.6,772,57,84.6,15.9,7.07
2014,3. Chelsea,72,14.8,734,54.1,83.2,18.6,7.06
2014,4. Manchester United,61,13.5,645,58.8,85.1,15.8,6.99
2014,5. Southampton,49,13.4,573,51.9,79.7,16.9,6.91
2014,6. Liverpool,51,15.5,663,54.3,82.8,14.9,6.9
2014,7. Tottenham,58,13.9,794,55.2,81.2,16,6.89
2014,8. Stoke,47,13.2,821,50.2,77.5,24.4,6.87
2014,9. Swansea,45,11.2,485,50.7,82.1,14.4,6.86
2014,10. West Ham,45,12.9,642,46.7,74.6,22.9,6.85
2014,11. Leicester,51,12,504,44.8,71.1,23.4,6.84
2014,12. Crystal Palace,46,11.6,634,42.7,69.4,23.7,6.83
2014,13. Everton,48,12.7,662,53.6,82.5,15.3,6.82
2014,14. Burnley,29,11.3,642,44,70.3,25.1,6.79
2014,15. Queens Park Rangers,42,14.1,753,46.3,70.8,21.7,6.77
2014,16. West Bromwich Albion,37,10.8,643,44.9,75,17.2,6.77
2014,17. Hull,32,11.3,736,45.5,76.5,21.9,6.76
2014,18. Sunderland,35,10.7,942,46.2,76.1,15.3,6.75
2014,19. Newcastle United,41,12.3,657,48.1,76.9,17.7,6.74
2014,20. Aston Villa,32,11,707,49.1,79,18.4,6.69
2013,1. Liverpool,101,17.1,541,54.7,84.1,15.2,7.18
2013,2. Manchester City,100,17.7,721,55.7,85.5,15.2,7.13
2013,3. Chelsea,71,18.2,573,53.9,82.7,19.3,7.07
2013,4. Arsenal,70,13.8,534,55.7,85.5,17.9,7.05
2013,5. Everton,62,14.8,551,54.4,83.2,14.3,7.01
2013,6. Manchester United,64,13.8,663,54.3,84,15.4,6.95
2013,7. Southampton,53,14.1,600,56.5,81.1,17.4,6.91
2013,8. Crystal Palace,33,10.9,582,41.1,70.2,23.2,6.85
2013,9. Tottenham,51,15.4,664,53.4,81.1,15,6.84
2013,10. Stoke,43,11.3,725,48.1,77.3,25.3,6.83
2013,11. Newcastle United,43,15.2,526,49.8,79.4,20.6,6.82
2013,12. Swansea,49,13,553,55.6,84.8,14.9,6.81
2013,13. West Ham,38,11.1,625,44.2,73.1,21.2,6.79
2013,14. West Bromwich Albion,43,12.8,670,47.2,77.1,18.2,6.75
2013,15. Hull,38,11.3,534,45.9,76.1,18.9,6.72
2013,16. Aston Villa,42,11.3,780,44.8,73.2,19.3,6.71
2013,17. Sunderland,47,12.9,697,46.7,77.5,15,6.68
2013,18. Norwich,31,12.3,622,46.4,75.9,15.8,6.66
2013,19. Fulham,43,11.3,581,45.7,78,17.1,6.66
2013,20. Cardiff,30,11,491,45.9,75.4,18.5,6.64
2012,1. Arsenal,69,15.7,425,56.2,85.2,16.8,7.03
2012,2. Manchester United,85,14.7,571,54.9,85.2,14.2,7.03
2012,3. Liverpool,71,19.4,542,55.1,83.9,12.7,6.99
2012,4. Tottenham,62,17.9,552,52.8,82.5,14.6,6.98
2012,5. Chelsea,74,16.5,513,52.9,82.7,13.5,6.96
2012,6. Manchester City,66,17.3,623,56,84.6,15.8,6.96
2012,7. Everton,53,16.7,593,51.9,79,18.6,6.93
2012,8. Swansea,48,13.3,582,54.4,84.4,12.9,6.83
2012,9. Fulham,45,12.1,483,49.6,81.4,15.3,6.82
2012,10. Aston Villa,53,11.5,713,47.1,77.2,18.9,6.8
2012,11. Southampton,51,13.6,432,52.2,77.3,16.4,6.79
2012,12. West Ham,45,13,741,45.1,73.6,21.1,6.79
2012,13. Sunderland,42,11,613,44.7,75.2,17.1,6.74
2012,14. Queens Park Rangers,34,13.2,593,46.9,76.2,15.3,6.74
2012,15. Newcastle United,45,14,714,49.3,79.1,18.1,6.72
2012,16. Stoke,37,10.3,774,44.5,69.9,28.9,6.72
2012,17. West Bromwich Albion,53,13.3,634,46.3,77.7,15.7,6.71
2012,18. Wigan,48,13.2,672,52.9,82.1,10.3,6.68
2012,19. Norwich,41,10.9,601,44.4,73,17,6.66
